ticker,date,high_box,low_box,initial_high_box,initial_low_box,start_time,end_time,breakout,breakout_time,confirm,confirm_time,target_05_hit,target_068_hit,target_100_hit,target_200_hit,inverse_breakout,inverse_breakout_time,inv_confirm,inv_confirm_time,inv_target_05_hit,inv_target_068_hit,inv_target_100_hit,inv_target_200_hit
NQ,2025-05-26,21307.75,21258.75,21307.75,21258.75,15:30:00,16:00:00,down,16:30:00,True,16:35:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-05-27,21342.5,21192.75,21342.5,21192.75,15:30:00,16:00:00,up,16:05:00,True,16:15:00,True,True,False,False,none,,False,,False,False,False,False
NQ,2025-05-28,21567.5,21433.0,21567.5,21451.5,15:30:00,16:00:00,down,16:55:00,True,21:50:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-05-29,21679.75,21485.25,21679.75,21485.25,15:30:00,16:00:00,down,16:05:00,True,17:55:00,True,True,False,False,none,,False,,False,False,False,False
NQ,2025-05-30,21392.75,21234.75,21390.5,21234.75,15:30:00,16:00:00,up,16:35:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-02,21458.0,21235.0,21458.0,21235.0,15:30:00,16:00:00,up,19:00:00,True,20:15:00,True,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-03,21638.5,21509.75,21638.5,21509.75,15:30:00,16:00:00,up,16:50:00,True,16:55:00,True,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-04,21790.5,21689.5,21790.5,21689.5,15:30:00,16:00:00,down,16:05:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-05,21878.5,21691.5,21840.5,21691.5,15:30:00,16:00:00,up,17:15:00,True,17:25:00,False,False,False,False,down,22:55:00,False,,False,False,False,False
NQ,2025-06-06,21873.5,21722.0,21864.25,21768.25,15:30:00,16:00:00,none,,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-09,21819.75,21756.5,21819.75,21756.5,15:30:00,16:00:00,up,16:05:00,True,16:10:00,False,False,True,False,none,,False,,False,False,False,False
NQ,2025-06-10,21893.25,21818.0,21893.25,21818.0,15:30:00,16:00:00,down,17:30:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-11,22025.0,21915.75,22025.0,21915.75,15:30:00,16:00:00,up,16:20:00,True,16:25:00,False,False,False,False,down,22:55:00,False,,False,False,False,False
NQ,2025-06-12,21902.75,21818.5,21892.5,21818.5,15:30:00,16:00:00,up,16:10:00,True,16:15:00,False,False,True,False,none,,False,,False,False,False,False
